City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Kupang,ID,77.0,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
105,Sabang,ID,81.88,clear sky,5.8933,95.3214,Hotel Citra
107,Byron Bay,AU,80.6,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
116,Bani,DO,79.0,clear sky,18.2833,-70.3333,Hospedaje Henriquez
117,Arraial Do Cabo,BR,76.5,clear sky,-22.9661,-42.0278,Pousada Porto Praia
121,Hithadhoo,MV,82.0,clear sky,-0.6,73.0833,Scoop Guest House
123,Matara,LK,76.08,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
132,Geraldton,AU,78.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
140,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
142,Kulhudhuffushi,MV,80.4,broken clouds,6.6221,73.07,Haajy Guest House 1
146,Bambanglipuro,ID,78.73,broken clouds,-7.95,110.2833,Puri Brata
150,Marawi,PH,82.0,broken clouds,7.9986,124.2928,Derogongan Residence
154,Kahului,US,80.6,light rain,20.8947,-156.47,Maui Seaside Hotel
172,Mingoyo,TZ,75.2,few clouds,-10.1,39.6333,CHIMBENDE LODGE
174,San Juan Del Sur,NI,79.05,clear sky,11.2529,-85.8705,Nuestra Casa
175,Mahebourg,MU,78.8,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
176,Beneditinos,BR,80.6,clear sky,-5.45,-42.3667,Pousada e Churrascaria Cabo Miguel
181,Manaure,CO,78.89,clear sky,11.7751,-72.4445,Hotel Palaaima
182,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
185,Grand Gaube,MU,77.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
187,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
188,Kavieng,PG,83.88,light rain,-2.5744,150.7967,Nusa Island Retreat
191,Carnarvon,AU,75.2,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
194,Vao,NC,78.46,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
196,Bambous Virieux,MU,78.8,few clouds,-20.3428,57.7575,Casa Tia Villa
201,Buala,SB,78.33,very heavy rain,-8.145,159.5921,Maringe Lagoon Lodge
206,Hambantota,LK,77.0,overcast clouds,6.1241,81.1185,Bungalow 63
207,Biak,ID,78.21,overcast clouds,-0.9131,122.8766,Penginapan Kim
209,Formosa,AR,78.8,overcast clouds,-26.1775,-58.1781,Asterión Hotel
211,Gurupi,BR,76.53,broken clouds,-11.7292,-49.0686,Via Norte Hotel
220,Alofi,NU,86.0,moderate rain,-19.0595,-169.9187,Taloa Heights
227,Port Hedland,AU,87.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
232,Tiruchchendur,IN,76.46,overcast clouds,8.4833,78.1167,Hotel Udhayam International
233,Neuquen,AR,75.2,clear sky,-38.9516,-68.0591,Hotel del Comahue
234,Esperance,AU,75.2,clear sky,-33.8667,121.9,Hospitality Esperance
237,Angoche,MZ,76.62,overcast clouds,-16.2325,39.9086,Guest House HESADA
246,Coron,PH,83.62,clear sky,11.9986,120.2043,Coron Westown Resort
247,Camapua,BR,77.04,overcast clouds,-19.5314,-54.0439,Comercial Estrela
248,Maningrida,AU,85.62,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
249,Gurupa,BR,75.74,overcast clouds,-1.405,-51.64,Residencial DWD
250,Alyangula,AU,89.6,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
253,Pochutla,MX,80.6,clear sky,15.7432,-96.4661,Hotel Posada San Jose
256,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
