,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Yellowknife,CA,62.456,-114.3525,-13.0,70,90,10.36,overcast clouds
112,Pokhara,NP,28.2333,83.9833,54.09,37,0,4.03,clear sky
113,Hermanus,ZA,-34.4187,19.2345,59.0,94,0,5.35,clear sky
114,Moyale,KE,3.5167,39.0584,69.01,40,0,6.04,clear sky
115,Constitucion,CL,-35.3333,-72.4167,59.05,83,0,5.91,clear sky
116,Bani,DO,18.2833,-70.3333,79.0,96,1,2.84,clear sky
117,Arraial Do Cabo,BR,-22.9661,-42.0278,76.5,86,0,22.32,clear sky
118,Tulun,RU,54.5611,100.5792,7.11,91,100,4.79,overcast clouds
119,Paysandu,UY,-32.3214,-58.0756,70.0,96,99,3.0,light rain
120,Leh,IN,34.1667,77.5833,4.44,67,95,1.92,overcast clouds
121,Hithadhoo,MV,-0.6,73.0833,82.0,71,1,4.45,clear sky
122,Reyes,BO,-14.3167,-67.3833,75.92,90,100,1.66,overcast clouds
123,Matara,LK,5.9485,80.5353,76.08,85,39,3.78,scattered clouds
124,Maridi,SS,4.9158,29.4742,74.52,33,0,4.5,clear sky
125,Brae,GB,60.3964,-1.353,37.4,65,40,19.57,scattered clouds
126,Moussoro,TD,13.6408,16.4901,70.77,16,0,10.42,clear sky
127,Titlagarh,IN,20.3,83.15,57.96,35,0,2.01,clear sky
128,Huilong,CN,31.8111,121.655,51.01,62,0,7.0,clear sky
129,Mogadishu,SO,2.0371,45.3438,73.98,79,7,19.19,clear sky
130,Camopi,GF,3.1655,-52.3158,72.48,98,100,2.33,overcast clouds
131,Ancud,CL,-41.8697,-73.8203,60.01,72,0,11.5,clear sky
132,Geraldton,AU,-28.7667,114.6,78.8,65,90,16.11,overcast clouds
133,Shumskiy,RU,54.8318,99.1328,12.9,89,100,4.14,overcast clouds
134,Port Lincoln,AU,-34.7333,135.8667,67.35,66,63,11.88,broken clouds
135,Kodiak,US,57.79,-152.4072,35.6,87,90,12.66,snow
136,Scarborough,GB,54.2797,-0.4044,41.0,95,100,8.01,overcast clouds
137,Ratnagiri,IN,16.9833,73.3,73.45,34,0,8.37,clear sky
138,Qaanaaq,GL,77.484,-69.3632,-12.44,84,100,1.05,overcast clouds
139,Raudeberg,NO,61.9875,5.1352,27.0,78,0,6.82,clear sky
140,Butaritari,KI,3.0707,172.7902,82.04,84,89,17.07,light rain
141,Turukhansk,RU,65.8167,87.9833,-6.97,91,99,8.95,overcast clouds
142,Kulhudhuffushi,MV,6.6221,73.07,80.4,75,80,4.5,broken clouds
143,Puerto Madryn,AR,-42.7692,-65.0385,72.57,41,0,12.73,clear sky
144,Winton,US,37.3894,-120.6133,54.0,100,90,4.61,overcast clouds
145,Kenai,US,60.5544,-151.2583,12.0,85,90,4.61,snow
146,Bambanglipuro,ID,-7.95,110.2833,78.73,86,67,11.74,broken clouds
147,Pitea,SE,65.3172,21.4794,10.4,92,90,2.3,light snow
148,Yuzhno-Kurilsk,RU,44.0306,145.8556,14.5,83,100,22.75,overcast clouds
149,Usinsk,RU,65.9939,57.5281,9.84,96,100,13.71,light snow
150,Marawi,PH,7.9986,124.2928,82.0,79,67,1.99,broken clouds
151,Fortuna,US,40.5982,-124.1573,51.01,71,1,5.75,clear sky
152,Vardo,NO,70.3705,31.1107,26.35,91,98,24.2,light snow
153,Arkhangelsk,RU,64.5401,40.5433,14.0,85,90,8.95,light snow
154,Kahului,US,20.8947,-156.47,80.6,57,40,13.8,light rain
155,Swellendam,ZA,-34.0226,20.4417,57.2,94,0,5.75,clear sky
156,Calvinia,ZA,-31.4707,19.776,65.73,46,0,3.27,clear sky
157,Mount Isa,AU,-20.7333,139.5,93.2,38,0,8.05,clear sky
158,Urengoy,RU,65.9667,78.3667,4.48,95,86,6.26,overcast clouds
159,Pietarsaari,FI,63.65,22.6833,-9.4,84,0,8.05,clear sky
160,Kattivakkam,IN,13.2167,80.3167,73.4,83,20,2.3,mist
161,Longyearbyen,SJ,78.2186,15.6401,23.0,74,40,13.8,light snow
162,Mandera,KE,3.9366,41.867,69.53,68,5,4.74,clear sky
163,San Patricio,US,28.017,-97.5169,59.0,58,75,9.22,broken clouds
164,Paraiso,CR,9.8383,-83.8656,68.0,77,90,19.57,overcast clouds
165,Berlevag,NO,70.8578,29.0864,24.64,91,100,20.2,light snow
166,Provideniya,RU,64.3833,-173.3,5.97,90,100,18.14,overcast clouds
167,Clyde River,CA,70.4692,-68.5914,-31.0,68,1,2.3,clear sky
168,Gravdal,NO,68.1214,13.5031,27.97,88,34,7.25,scattered clouds
169,Grindavik,IS,63.8424,-22.4338,32.0,74,0,18.41,clear sky
170,Gamba,GA,-2.65,10.0,77.56,87,95,4.7,overcast clouds
171,Thompson,CA,55.7435,-97.8558,15.8,92,90,4.61,snow
172,Mingoyo,TZ,-10.1,39.6333,75.2,88,20,11.5,few clouds
173,Praia Da Vitoria,PT,38.7333,-27.0667,55.99,76,40,23.15,scattered clouds
174,San Juan Del Sur,NI,11.2529,-85.8705,79.05,70,0,27.22,clear sky
175,Mahebourg,MU,-20.4081,57.7,78.8,83,20,1.14,few clouds
176,Beneditinos,BR,-5.45,-42.3667,80.6,74,0,3.44,clear sky
177,Cherskiy,RU,68.75,161.3,0.91,84,0,3.4,clear sky
178,Vila Franca Do Campo,PT,37.7167,-25.4333,53.6,76,20,29.93,few clouds
179,Saint-Ambroise,CA,48.5501,-71.3324,26.01,86,100,3.44,snow
